PROV_ID,CONTACT_DATE,EFF_TO_DATE,PROV_TYPE
4376,2010-01-01,2099-12-31,Physician
522,2010-01-01,2099-12-31,Nurse Practitioner
2137,2010-01-01,2099-12-31,Physician
316,2010-01-01,2099-12-31,Physician
3571,2010-01-01,2099-12-31,Physician
3946,2010-01-01,2099-12-31,Resident
623,2010-01-01,2099-12-31,Resident
1560,2010-01-01,2099-12-31,Physician
4823,2010-01-01,2099-12-31,Nurse Practitioner
421,2010-01-01,2099-12-31,Resident
2607,2010-01-01,2099-12-31,Physician
4298,2010-01-01,2099-12-31,Resident
961,2010-01-01,2099-12-31,Physician
4766,2010-01-01,2099-12-31,Physician
4002,2010-01-01,2099-12-31,Nurse Practitioner
3787,2010-01-01,2099-12-31,Nurse Practitioner
81,2010-01-01,2099-12-31,Nurse Practitioner
4420,2010-01-01,2099-12-31,Resident
4183,2010-01-01,2099-12-31,Physician
3300,2010-01-01,2099-12-31,Physician
450,2010-01-01,2099-12-31,Nurse Practitioner
576,2010-01-01,2099-12-31,Physician
3207,2010-01-01,2099-12-31,Resident
4248,2010-01-01,2099-12-31,Nurse Practitioner
3996,2010-01-01,2099-12-31,Physician
4477,2010-01-01,2099-12-31,Physician
1569,2010-01-01,2099-12-31,Physician
1524,2010-01-01,2099-12-31,Physician
2661,2010-01-01,2099-12-31,Nurse Practitioner
279,2010-01-01,2099-12-31,Resident
1633,2010-01-01,2099-12-31,Nurse Practitioner
4758,2010-01-01,2099-12-31,Resident
13,2010-01-01,2099-12-31,Nurse Practitioner
3376,2010-01-01,2099-12-31,Physician
4390,2010-01-01,2099-12-31,Resident
4767,2010-01-01,2099-12-31,Physician
4870,2010-01-01,2099-12-31,Physician
932,2010-01-01,2099-12-31,Physician
188,2010-01-01,2099-12-31,Nurse Practitioner
1899,2010-01-01,2099-12-31,Physician
2258,2010-01-01,2099-12-31,Physician
1161,2010-01-01,2099-12-31,Nurse Practitioner
4716,2010-01-01,2099-12-31,Nurse Practitioner
3200,2010-01-01,2099-12-31,Nurse Practitioner
213,2010-01-01,2099-12-31,Physician
2629,2010-01-01,2099-12-31,Nurse Practitioner
4069,2010-01-01,2099-12-31,Physician
3910,2010-01-01,2099-12-31,Physician
797,2010-01-01,2099-12-31,Nurse Practitioner
4029,2010-01-01,2099-12-31,FELLOW
2592,2010-01-01,2099-12-31,Physician
849,2010-01-01,2099-12-31,Nurse Practitioner
1441,2010-01-01,2099-12-31,Nurse Practitioner
1680,2010-01-01,2099-12-31,Resident
1198,2010-01-01,2099-12-31,Resident
783,2010-01-01,2099-12-31,Nurse Practitioner
1209,2010-01-01,2099-12-31,Physician
1993,2010-01-01,2099-12-31,Physician
3321,2010-01-01,2099-12-31,Physician
790,2010-01-01,2099-12-31,Physician
514,2010-01-01,2099-12-31,Resident
2101,2010-01-01,2099-12-31,Physician
4578,2010-01-01,2099-12-31,Resident
2675,2010-01-01,2099-12-31,Nurse Practitioner
2654,2010-01-01,2099-12-31,Physician
573,2010-01-01,2099-12-31,FELLOW
2695,2010-01-01,2099-12-31,Physician
463,2010-01-01,2099-12-31,Physician
1371,2010-01-01,2099-12-31,Physician
4316,2010-01-01,2099-12-31,Physician
2902,2010-01-01,2099-12-31,Physician
3228,2010-01-01,2099-12-31,Physician with Sedation
4159,2010-01-01,2099-12-31,Nurse Practitioner
3924,2010-01-01,2099-12-31,Nurse Practitioner
2457,2010-01-01,2099-12-31,Physician
3395,2010-01-01,2099-12-31,Resident
4950,2010-01-01,2099-12-31,Physician
828,2010-01-01,2099-12-31,Physician
3557,2010-01-01,2099-12-31,Nurse Practitioner
4729,2010-01-01,2099-12-31,Resident
3041,2010-01-01,2099-12-31,Physician
4669,2010-01-01,2099-12-31,Nurse Practitioner
231,2010-01-01,2099-12-31,Resident
4744,2010-01-01,2099-12-31,Resident
2602,2010-01-01,2099-12-31,Physician
2149,2010-01-01,2099-12-31,Physician
3184,2010-01-01,2099-12-31,Resident
4436,2010-01-01,2099-12-31,Resident
367,2010-01-01,2099-12-31,Resident
3782,2010-01-01,2099-12-31,Physician
872,2010-01-01,2099-12-31,Resident
3265,2010-01-01,2099-12-31,Physician
3835,2010-01-01,2099-12-31,Resident
4195,2010-01-01,2099-12-31,Resident
2117,2010-01-01,2099-12-31,Physician
2375,2010-01-01,2099-12-31,Resident
1541,2010-01-01,2099-12-31,Resident
2824,2010-01-01,2099-12-31,Nurse Practitioner
2005,2010-01-01,2099-12-31,Nurse Practitioner
712,2010-01-01,2099-12-31,Physician
4229,2010-01-01,2099-12-31,Resident
1797,2010-01-01,2099-12-31,Nurse Practitioner
4738,2010-01-01,2099-12-31,Resident
4910,2010-01-01,2099-12-31,Physician
3678,2010-01-01,2099-12-31,Physician
4960,2010-01-01,2099-12-31,Physician
3883,2010-01-01,2099-12-31,Nurse Practitioner
3173,2010-01-01,2099-12-31,Physician
4949,2010-01-01,2099-12-31,Nurse Practitioner
1793,2010-01-01,2099-12-31,Resident
1402,2010-01-01,2099-12-31,Resident
4220,2010-01-01,2099-12-31,Physician
2202,2010-01-01,2099-12-31,Physician
1221,2010-01-01,2099-12-31,Physician
3810,2010-01-01,2099-12-31,Physician
2070,2010-01-01,2099-12-31,Resident
246,2010-01-01,2099-12-31,Resident
4624,2010-01-01,2099-12-31,Nurse Practitioner
1932,2010-01-01,2099-12-31,Physician
2277,2010-01-01,2099-12-31,Physician
4691,2010-01-01,2099-12-31,Nurse Practitioner
304,2010-01-01,2099-12-31,Physician
585,2010-01-01,2099-12-31,Resident
1597,2010-01-01,2099-12-31,Physician
2501,2010-01-01,2099-12-31,Physician
1077,2010-01-01,2099-12-31,Resident
4981,2010-01-01,2099-12-31,Physician
1174,2010-01-01,2099-12-31,Physician
2303,2010-01-01,2099-12-31,Resident
26,2010-01-01,2099-12-31,Physician
99,2010-01-01,2099-12-31,Physician
4325,2010-01-01,2099-12-31,Resident
3586,2010-01-01,2099-12-31,Resident
1083,2010-01-01,2099-12-31,Physician
4118,2010-01-01,2099-12-31,Physician
86,2010-01-01,2099-12-31,Resident
4822,2010-01-01,2099-12-31,Nurse Practitioner
1724,2010-01-01,2099-12-31,Physician
2513,2010-01-01,2099-12-31,Nurse Practitioner
1535,2010-01-01,2099-12-31,Physician
3169,2010-01-01,2099-12-31,Nurse Practitioner
1588,2010-01-01,2099-12-31,Physician
1331,2010-01-01,2099-12-31,FELLOW
4362,2010-01-01,2099-12-31,Physician
777,2010-01-01,2099-12-31,Physician
1702,2010-01-01,2099-12-31,Nurse Practitioner
1143,2010-01-01,2099-12-31,Physician
3290,2010-01-01,2099-12-31,Physician
1255,2010-01-01,2099-12-31,Physician
3597,2010-01-01,2099-12-31,Physician
1707,2010-01-01,2099-12-31,Physician
3082,2010-01-01,2099-12-31,Resident
2148,2010-01-01,2099-12-31,Physician
2233,2010-01-01,2099-12-31,Physician
800,2010-01-01,2099-12-31,Physician
4332,2010-01-01,2099-12-31,Physician
1106,2010-01-01,2099-12-31,Resident
1177,2010-01-01,2099-12-31,Physician
3074,2010-01-01,2099-12-31,Physician
2273,2010-01-01,2099-12-31,Nurse Practitioner
2105,2010-01-01,2099-12-31,Nurse Practitioner
1178,2010-01-01,2099-12-31,Nurse Practitioner
835,2010-01-01,2099-12-31,Physician
1103,2010-01-01,2099-12-31,Resident
1370,2010-01-01,2099-12-31,Nurse Practitioner
1604,2010-01-01,2099-12-31,Physician
874,2010-01-01,2099-12-31,Physician
3107,2010-01-01,2099-12-31,Physician
4896,2010-01-01,2099-12-31,Physician
1863,2010-01-01,2099-12-31,Physician
707,2010-01-01,2099-12-31,Resident
2709,2010-01-01,2099-12-31,Resident
3951,2010-01-01,2099-12-31,Physician
489,2010-01-01,2099-12-31,Nurse Practitioner
2391,2010-01-01,2099-12-31,Physician
373,2010-01-01,2099-12-31,Resident
4200,2010-01-01,2099-12-31,Physician
3287,2010-01-01,2099-12-31,Physician
2152,2010-01-01,2099-12-31,Physician
2270,2010-01-01,2099-12-31,Nurse Practitioner
221,2010-01-01,2099-12-31,Resident
1930,2010-01-01,2099-12-31,Resident
2877,2010-01-01,2099-12-31,Physician
3716,2010-01-01,2099-12-31,Resident
3463,2010-01-01,2099-12-31,Physician
4232,2010-01-01,2099-12-31,Physician
454,2010-01-01,2099-12-31,Resident
2221,2010-01-01,2099-12-31,Nurse Practitioner
3901,2010-01-01,2099-12-31,Resident
